"fichero","seccion","linea","castellano","ingles_referencia","EUSKERA"
"copy.ts","SERVICE_PAGE","998","Ejemplo real","Real example","Benetako adibidea"
"copy.ts","SERVICE_PAGE","999","Ver sitio →","Visit site →","Gunea ikusi →"
"copy.ts","SERVICE_PAGE","1001","¿Hablamos de tu proyecto? →","Let's talk about your project →","Zure proiektuaz hitz egingo dugu? →"
"copy.ts","PROYECTOS_INTRO","1009","(QUÉ INCLUYE / 02)","(WHAT YOU GET / 02)","(ZER SARTZEN DEN / 02)"
"copy.ts","PROYECTOS_INTRO","1010","QUÉ TE LLEVAS","WHAT YOU GET","ZER ERAMATEN DUZUN"
"copy.ts","PROYECTOS_INTRO","1012","Entregables claros, cero sorpresas — justo lo que acaba en tus manos.","Clear deliverables, zero surprises — exactly what ends up in your hands.","Entregagai argiak, ezustekorik gabe — zure eskuetara iristen dena, zehazki."
"copy.ts","packages","1021","Web a medida","Custom website","Neurrirako weba"
"copy.ts","packages","1023","Tu sitio diseñado desde cero, sin plantillas.","Your site designed from scratch — no templates.","Zure gunea hutsetik diseinatua, txantiloirik gabe."
"copy.ts","packages","1029","Diseño único para tu marca","A design unique to your brand","Zure markarako diseinu bakarra"
"copy.ts","packages","1034","100% responsive (móvil y escritorio)","100% responsive (mobile & desktop)","% 100 responsive (mugikorra eta mahaigaina)"
"copy.ts","packages","1038","Rápida y optimizada","Fast and optimized","Azkarra eta optimizatua"
"copy.ts","packages","1039","SEO básico incluido","Basic SEO included","Oinarrizko SEOa barne"
"copy.ts","packages","1044","Tienda online","Online store","Online denda"
"copy.ts","packages","1046","Lista para empezar a vender desde el día uno.","Ready to start selling from day one.","Lehen egunetik saltzen hasteko prest."
"copy.ts","packages","1051","Catálogo de productos","Product catalogue","Produktuen katalogoa"
"copy.ts","packages","1053","Pasarela de pago segura","Secure payment gateway","Ordainketa-pasabide segurua"
"copy.ts","packages","1058","Gestión fácil para ti","Easy to manage yourself","Zuretzat kudeaketa erraza"
"copy.ts","packages","1062","Pensada para convertir","Built to convert","Bihurtzeko pentsatua"
"copy.ts","packages","1067","Branding","Branding","Brandinga"
"copy.ts","packages","1069","Una identidad que hace que te recuerden.","An identity that makes you memorable.","Gogoan hartuko zaituzten identitate bat."
"copy.ts","packages","1074","Logo y marca","Logo and wordmark","Logoa eta marka"
"copy.ts","packages","1076","Paleta de color y tipografías","Colour palette and type","Kolore-paleta eta tipografiak"
"copy.ts","packages","1080","Mini guía de uso","Mini brand guide","Erabilera-gida laburra"
"copy.ts","packages","1081","Coherencia en todo","Consistency everywhere","Koherentzia guztian"
"copy.ts","packages","1086","Landing / campaña","Landing / campaign","Landing / kanpaina"
"copy.ts","packages","1088","Una página, un objetivo: convertir.","One page, one goal: convert.","Orri bat, helburu bat: bihurtzea."
"copy.ts","packages","1094","Enfocada en un solo objetivo","Focused on a single goal","Helburu bakarrera bideratua"
"copy.ts","packages","1098","Texto persuasivo","Persuasive copy","Testu limurtzailea"
"copy.ts","packages","1099","Lista en pocos días","Ready in a few days","Egun gutxitan prest"
"copy.ts","packages","1101","Medible y optimizable","Measurable and optimizable","Neurgarria eta optimizagarria"
"copy.ts","MANIFIESTO","1111","(MANIFIESTO)","(MANIFESTO)","(MANIFESTUA)"
"copy.ts","MANIFIESTO","1113","No vendemos plantillas. Diseñamos cada píxel a propósito — para que tu marca no se parezca a ninguna otra.","We don't sell templates. We design every pixel on purpose — so your brand looks like nobody else's.","Ez dugu txantiloirik saltzen. Pixel bakoitza asmoz diseinatzen dugu — zure marka beste inorenaren antzekoa izan ez dadin."
"copy.ts","commitments","1122","Revisiones sin límite en el diseño","Unlimited design revisions","Diseinuan berrikuspen mugagabeak"
"copy.ts","commitments","1127","Hasta que estés 100% contento con tu web.","Until you're 100% happy with your site.","Zure webarekin % 100 pozik egon arte."
"copy.ts","commitments","1133","Entrega rápida","Fast delivery","Entrega azkarra"
"copy.ts","commitments","1135","Plazos cortos, sin esperas eternas.","Short timelines, no endless waits.","Epe laburrak, amaigabeko itxaronaldirik gabe."
"copy.ts","commitments","1141","Sin permanencias","No lock-ins","Iraunkortasunik gabe"
"copy.ts","commitments","1143","Ni letra pequeña. Cero sorpresas.","No fine print. Zero surprises.","Letra txikirik ez. Ezustekorik ez."
"copy.ts","commitments","1149","Dedicación total","Full dedication","Erabateko dedikazioa"
"copy.ts","commitments","1151","Trato directo y foco en tu proyecto.","Direct contact, focused on your project.","Harreman zuzena eta zure proiektuan jarritako arreta."
"copy.ts","PROCESO_INTRO","1160","(PROCESO / 03)","(PROCESS / 03)","(PROZESUA / 03)"
"copy.ts","PROCESO_INTRO","1161","CÓMO TRABAJAMOS","HOW WE WORK","NOLA EGITEN DUGUN LAN"
"copy.ts","steps","1167","Descubrimiento","Discovery","Deskubritzea"
"copy.ts","steps","1169","Entendemos tu negocio, tu público y tus objetivos.","We understand your business, audience and goals.","Zure negozioa, zure publikoa eta zure helburuak ulertzen ditugu."
"copy.ts","steps","1176","Diseño","Design","Diseinua"
"copy.ts","steps","1178","Damos forma a la identidad y a cada pantalla, contigo.","We shape the identity and every screen, with you.","Identitateari eta pantaila bakoitzari forma ematen diegu, zurekin."
"copy.ts","steps","1185","Desarrollo","Development","Garapena"
"copy.ts","steps","1187","Construimos una web rápida, segura y lista para crecer.","We build a fast, secure site ready to grow.","Web azkar, seguru eta hazteko prest dagoen bat eraikitzen dugu."
"copy.ts","steps","1194","Lanzamiento","Launch","Abiaraztea"
"copy.ts","steps","1196","Publicamos, medimos y te acompañamos después.","We publish, measure and support you after.","Argitaratu, neurtu eta ondoren ere zure ondoan jarraitzen dugu."
"copy.ts","TARIFAS_INTRO","1205","(TARIFAS / 05)","(PRICING / 05)","(TARIFAK / 05)"
"copy.ts","TARIFAS_INTRO","1206","TARIFAS PLANAS","FLAT-RATE PLANS","TARIFA LAUAK"
"copy.ts","TARIFAS_INTRO","1208","Una cuota fija al mes. Hosting, SSL y mantenimiento — todo dentro. Sin facturas raras.","One fixed fee a month. Hosting, SSL and maintenance — all in. No weird invoices.","Hileroko kuota finko bat. Hostinga, SSLa eta mantentze-lanak — dena barne. Faktura arrarorik gabe."
"copy.ts","TARIFAS_INTRO","1212","DESDE","FROM","HEMENDIK AURRERA"
"copy.ts","TARIFAS_INTRO","1213","/mes","/mo","/hil"
"copy.ts","TARIFAS_INTRO","1214","+ alta única","+ one-time setup","+ hasierako kuota"
"copy.ts","TARIFAS_INTRO","1215","Sin cuota de alta","No setup fee","Hasierako kuotarik gabe"
"copy.ts","TARIFAS_INTRO","1216","CAMBIOS INCLUIDOS","INCLUDED CHANGES","ALDAKETAK BARNE"
"copy.ts","TARIFAS_INTRO","1217","EMPEZAR →","GET STARTED →","HASI →"
"copy.ts","TARIFAS_INTRO","1219","DESLIZA PARA VER LOS PLANES →","SWIPE TO SEE THE PLANS →","LERRATU PLANAK IKUSTEKO →"
"copy.ts","TARIFAS_INTRO","1224","* Precios sin IVA. Dominio sujeto a disponibilidad y precio, pago único aparte. Cada plan incluye una alta única de puesta en marcha (ver cada tarjeta). En Tienda online y Premium, gestionar tu catálogo desde tu propio panel no cuenta como cambio; las comisiones de la pasarela de pago las cobra directamente tu proveedor de pago. Sin permanencia — cancela cuando quieras.","* Prices exclude VAT. Domain subject to availability and price, one-time payment. Each plan includes a one-time setup fee (see each card). On Online store and Premium, managing your catalogue from your own panel doesn't count as a change; payment gateway fees are charged directly by your payment provider. No lock-in — cancel whenever you want.","* Prezioak BEZ gabe. Domeinua erabilgarritasunaren eta prezioaren mende, ordainketa bakarra aparte. Plan bakoitzak abian jartzeko hasierako kuota bakar bat barne hartzen du (ikus txartel bakoitza). Online denda eta Premium planetan, zure katalogoa zure panelatik kudeatzea ez da aldaketatzat hartzen; ordainketa-pasabidearen komisioak zure ordainketa-hornitzaileak kobratzen ditu zuzenean. Iraunkortasunik gabe — utzi bertan behera nahi duzunean."
"copy.ts","plans","1242","Esencial","Essential","Funtsezkoa"
"copy.ts","plans","1247","Tu presencia online, lista y sin preocupaciones.","Your online presence, sorted and worry-free.","Zure online presentzia, prest eta kezkarik gabe."
"copy.ts","plans","1252","Web de hasta 5 páginas","Website up to 5 pages","5 orrialde arteko weba"
"copy.ts","plans","1253","Hosting + SSL incluidos","Hosting + SSL included","Hostinga + SSLa barne"
"copy.ts","plans","1254","Dominio gestionado*","Managed domain*","Domeinu kudeatua*"
"copy.ts","plans","1256","Mantenimiento y actualizaciones","Maintenance & updates","Mantentze-lanak eta eguneratzeak"
"copy.ts","plans","1260","Soporte por email","Email support","Laguntza emailez"
"copy.ts","plans","1263","Hasta 2 cambios de contenido/mes","Up to 2 content changes/mo","Hilean 2 eduki-aldaketa arte"
"copy.ts","plans","1270","Profesional","Professional","Profesionala"
"copy.ts","plans","1271","POPULAR","POPULAR","POPULARRA"
"copy.ts","plans","1275","Para negocios que quieren crecer en serio.","For businesses that want to grow for real.","Benetan hazi nahi duten negozioentzat."
"copy.ts","plans","1280","Todo lo de Esencial","Everything in Essential","Funtsezkoaren guztia"
"copy.ts","plans","1281","Hasta 15 páginas","Up to 15 pages","15 orrialde arte"
"copy.ts","plans","1282","Blog y formularios","Blog and forms","Bloga eta inprimakiak"
"copy.ts","plans","1284","SEO y velocidad optimizados","SEO & speed optimized","SEOa eta abiadura optimizatuak"
"copy.ts","plans","1288","Soporte prioritario","Priority support","Lehentasunezko laguntza"
"copy.ts","plans","1291","Hasta 5 cambios de contenido/mes","Up to 5 content changes/mo","Hilean 5 eduki-aldaketa arte"
"copy.ts","plans","1298","Tienda online","Online store","Online denda"
"copy.ts","plans","1303","Vende online con login, carrito y pagos.","Sell online with login, cart and payments.","Saldu online saioa hasteko aukerarekin, saskiarekin eta ordainketekin."
"copy.ts","plans","1309","Todo lo de Profesional","Everything in Professional","Profesionalaren guztia"
"copy.ts","plans","1314","Carrito y pasarela de pago","Cart & payment gateway","Saskia eta ordainketa-pasabidea"
"copy.ts","plans","1319","Login y área de clientes","Login & customer area","Saioa hastea eta bezeroen gunea"
"copy.ts","plans","1324","Gestión de productos y stock","Product & stock management","Produktuen eta stockaren kudeaketa"
"copy.ts","plans","1328","Integraciones a medida","Custom integrations","Neurrirako integrazioak"
"copy.ts","plans","1331","Hasta 5 cambios de contenido/diseño al mes*","Up to 5 content/design changes a month*","Hilean 5 eduki/diseinu aldaketa arte*"
"copy.ts","plans","1338","Premium","Premium","Premium"
"copy.ts","plans","1339","SIN ALTA","NO SETUP FEE","HASIERAKO KUOTARIK EZ"
"copy.ts","plans","1343","Para negocios que se han quedado pequeños en Tienda online.","For businesses that have outgrown Online store.","Online denda planean txiki geratu diren negozioentzat."
"copy.ts","plans","1349","Todo lo de Tienda online","Everything in Online store","Online dendaren guztia"
"copy.ts","plans","1354","Catálogo de productos sin límite","Unlimited product catalogue","Produktu-katalogo mugagabea"
"copy.ts","plans","1359","Integraciones avanzadas (marketplaces, CRM, email marketing)","Advanced integrations (marketplaces, CRM, email marketing)","Integrazio aurreratuak (marketplaceak, CRM, email marketinga)"
"copy.ts","plans","1364","Informe mensual de rendimiento","Monthly performance report","Hileroko errendimendu-txostena"
"copy.ts","plans","1369","Soporte prioritario por WhatsApp/teléfono","Priority WhatsApp/phone support","Lehentasunezko laguntza WhatsAppez/telefonoz"
"copy.ts","plans","1374","Llamada mensual de seguimiento","Monthly check-in call","Hileroko jarraipen-deia"
"copy.ts","plans","1380","Hasta 12 cambios de contenido/diseño al mes","Up to 12 content/design changes a month","Hilean 12 eduki/diseinu aldaketa arte"
"copy.ts","FAQ_INTRO","1389","(FAQ / 06)","(FAQ / 06)","(FAQ / 06)"
"copy.ts","FAQ_INTRO","1390","PREGUNTAS FRECUENTES","FREQUENTLY\nASKED","OHIKO GALDERAK"
"copy.ts","FAQ_INTRO","1392","Lo que casi todo el mundo nos pregunta antes de empezar. ¿Te queda otra duda? Escríbenos.","What almost everyone asks before starting. Still have a question? Just write to us.","Ia guztiek hasi aurretik galdetzen digutena. Beste zalantzarik duzu? Idatzi iezaguzu."
"copy.ts","faqs","1401","¿Cuánto tarda un proyecto?","How long does a project take?","Zenbat denbora behar du proiektu batek?"
"copy.ts","faqs","1406","Una landing puede estar lista en pocos días; una web a medida o una tienda, entre 2 y 4 semanas según el alcance. Fijamos plazos claros antes de empezar.","A landing page can be ready in a few days; a custom site or store, 2 to 4 weeks depending on scope. We agree on clear timelines before starting.","Landing bat egun gutxitan egon daiteke prest; neurrirako web bat edo denda bat, 2 eta 4 aste artean irismenaren arabera. Epe argiak finkatzen ditugu hasi aurretik."
"copy.ts","faqs","1413","¿Qué incluye la cuota mensual?","What's included in the monthly fee?","Zer sartzen da hileroko kuotan?"
"copy.ts","faqs","1418","Hosting, certificado SSL, dominio gestionado, mantenimiento y actualizaciones. Una sola cuota fija, sin facturas sorpresa.","Hosting, SSL certificate, managed domain, maintenance and updates. One fixed fee, no surprise invoices.","Hostinga, SSL ziurtagiria, domeinu kudeatua, mantentze-lanak eta eguneratzeak. Kuota finko bakarra, ezusteko fakturarik gabe."
"copy.ts","faqs","1425","¿Hay algún coste además de la cuota mensual?","Is there any cost besides the monthly fee?","Hileroko kuotaz gain, beste kosturik badago?"
"copy.ts","faqs","1430","Solo una alta única al empezar (entre 49€ y 129€ según el plan; gratis en Premium) que cubre la puesta en marcha. Aparte de eso, únicamente el dominio es un pago aparte si lo compramos por ti. Sin sorpresas después.","Just a one-time setup fee when you start (between €49 and €129 depending on the plan; free on Premium) that covers getting everything up and running. Beyond that, only the domain is a separate payment if we buy it for you. No surprises after that.","Hasieran hasierako kuota bakar bat besterik ez (49 € eta 129 € artean planaren arabera; doan Premium planean), abian jartzea estaltzen duena. Horretaz aparte, domeinua bakarrik da aparteko ordainketa, guk zure izenean erosten badugu. Ondoren ezustekorik ez."
"copy.ts","faqs","1436","¿Hay permanencia?","Is there a lock-in?","Iraunkortasunik badago?"
"copy.ts","faqs","1438","Ninguna. Sin permanencias ni letra pequeña: puedes cancelar cuando quieras.","None. No lock-ins, no fine print: you can cancel whenever you want.","Bat ere ez. Iraunkortasunik eta letra txikirik gabe: nahi duzunean utz dezakezu."
"copy.ts","faqs","1445","¿Tengo que preocuparme del dominio o la parte técnica?","Do I have to worry about the domain or the technical side?","Domeinuaz edo alde teknikoaz arduratu behar dut?"
"copy.ts","faqs","1450","No, de eso nos encargamos nosotros. Compramos el dominio por ti —es un pago único aparte de la cuota, ya que su precio depende del nombre que elijas— y desarrollamos y mantenemos toda la web en casa. Mientras sigas con tu tarifa plana, tu web está siempre online, actualizada y a punto — y si algún día decides no continuar, la damos de baja sin complicaciones.","No, we take care of all that. We buy the domain for you —a one-time purchase separate from your monthly fee, since its price depends on the name you choose— and we build and maintain the whole site in-house. As long as you keep your flat-rate plan, your website stays online, updated and in shape — and if one day you decide not to continue, we take it down with no hassle.","Ez, horretaz guk arduratzen gara. Domeinua zure izenean erosten dugu —kuotatik aparteko ordainketa bakarra da, bere prezioa aukeratzen duzun izenaren araberakoa baita— eta web osoa etxean garatu eta mantentzen dugu. Zure tarifa lauarekin jarraitzen duzun bitartean, zure weba beti online, eguneratuta eta prest dago — eta egunen batean jarraitu nahi ez baduzu, konplikaziorik gabe kentzen dugu."
"copy.ts","faqs","1457","¿Hacéis cambios después del lanzamiento?","Do you make changes after launch?","Aldaketarik egiten duzue abiarazi ondoren?"
"copy.ts","faqs","1462","Sí. Cada plan incluye un número de cambios de contenido al mes (2 en Esencial, 5 en Profesional y Tienda online, 12 en Premium), y seguimos contigo para que la web crezca con tu negocio.","Yes. Each plan includes a number of monthly content changes (2 on Essential, 5 on Professional and Online store, 12 on Premium), and we stay with you so the site grows with your business.","Bai. Plan bakoitzak hilean eduki-aldaketa kopuru bat barne hartzen du (2 Funtsezkoan, 5 Profesionalean eta Online dendan, 12 Premiumean), eta zurekin jarraitzen dugu weba zure negozioarekin batera hazteko."
"copy.ts","faqs","1469","¿Y si ya tengo web o marca?","What if I already have a site or brand?","Eta jada weba edo marka badut?"
"copy.ts","faqs","1474","Perfecto. Partimos de lo que ya tienes: rediseñamos, migramos o ampliamos sin empezar de cero salvo que tú quieras.","Great. We build on what you already have: redesign, migrate or extend — no starting from scratch unless you want to.","Ezin hobeto. Dagoeneko duzunetik abiatzen gara: berdiseinatu, migratu edo zabaldu egiten dugu, hutsetik hasi gabe, zuk hala nahi ezean."
"copy.ts","faqs","1484","¿Cuánto cuesta una página web en Irún o San Sebastián?","How much does a website cost in Irún or San Sebastián?","Zenbat balio du web orri batek Irunen edo Donostian?"
"copy.ts","faqs","1489","Con nosotros no pagas 1.500 € de golpe: trabajamos con tarifa plana desde 29 €/mes más un alta única desde 49 €, y ahí dentro va el diseño, el alojamiento, el SSL y el mantenimiento. Una web de comercio o restaurante suele encajar en el plan Esencial o Profesional; una tienda online, en el de 99 €/mes.","You don't pay €1,500 upfront: we work on a flat rate from €29/mo plus a one-time setup from €49, and that covers design, hosting, SSL and maintenance. A shop or restaurant site usually fits the Essential or Professional plan; an online store, the €99/mo one.","Gurekin ez duzu 1.500 € kolpetik ordaintzen: tarifa lauarekin egiten dugu lan, 29 €/hilabetetik aurrera eta 49 €-tik aurrerako hasierako kuota bakar batekin, eta hor barruan doaz diseinua, ostatatzea, SSLa eta mantentze-lanak. Denda edo jatetxe baten webak Funtsezko edo Profesional planean egiten du bat normalean; online denda batek, 99 €/hilabetekoan."
"copy.ts","faqs","1496","¿Trabajáis solo con negocios de Irún?","Do you only work with businesses from Irún?","Irungo negozioekin bakarrik egiten duzue lan?"
"copy.ts","faqs","1501","No. Somos de Irún y de ahí viene buena parte de nuestros clientes, pero trabajamos en remoto: con toda Gipuzkoa —Donostia-San Sebastián, Hondarribia, Errenteria, Oiartzun, Pasaia, Lezo, Hernani— y con cualquier punto de España. Todo se lleva por videollamada, email y WhatsApp, sin que tengas que desplazarte a ningún sitio.","No. We are from Irún and a good share of our clients are from here, but we work remotely: across Gipuzkoa —Donostia-San Sebastián, Hondarribia, Errenteria, Oiartzun, Pasaia, Lezo, Hernani— and anywhere in Spain. Everything runs over video call, email and WhatsApp, with no need for you to travel anywhere.","Ez. Irungoak gara eta gure bezeroen zati handi bat hemengoa da, baina urrunetik egiten dugu lan: Gipuzkoa osoarekin —Donostia, Hondarribia, Errenteria, Oiartzun, Pasaia, Lezo, Hernani— eta Espainiako edozein tokitarekin. Dena bideo-deiz, emailez eta WhatsAppez eramaten da, inora joan beharrik gabe."
"copy.ts","EMPEZAR","1516","Pide presupuesto para tu web | arianet, Irún","Get a quote for your website | arianet","Eskatu aurrekontua zure webarentzat | arianet, Irun"
"copy.ts","EMPEZAR","1521","Cuéntanos qué necesitas y te enviamos presupuesto en menos de 24 horas, sin compromiso. Páginas web y tiendas online en Irún, San Sebastián y Gipuzkoa.","Tell us what you need and we will send you a quote within 24 hours, no strings attached. Websites and online stores, built remotely from the Basque Country.","Kontatu iezaguzu zer behar duzun eta 24 ordu baino gutxiagoan bidaliko dizugu aurrekontua, konpromisorik gabe. Web orriak eta online dendak Irunen, Donostian eta Gipuzkoan."
"copy.ts","EMPEZAR","1526","(EMPEZAR PROYECTO)","(START A PROJECT)","(PROIEKTUA HASI)"
"copy.ts","EMPEZAR","1528","CUÉNTANOS DE TU PROYECTO","TELL US ABOUT YOUR PROJECT","KONTATU IEZAGUZU ZURE PROIEKTUA"
"copy.ts","EMPEZAR","1533","Unas pocas preguntas para entender qué necesitas. Sin ningún compromiso: te respondemos en menos de 24 horas.","A few questions so we understand what you need. No commitment at all: we reply within 24 hours.","Galdera gutxi batzuk zer behar duzun ulertzeko. Inolako konpromisorik gabe: 24 ordu baino gutxiagoan erantzuten dizugu."
"copy.ts","EMPEZAR","1537","← Volver al inicio","← Back to home","← Hasierara itzuli"
"copy.ts","EMPEZAR","1541","Tus datos","Your details","Zure datuak"
"copy.ts","EMPEZAR","1542","Nombre","Name","Izena"
"copy.ts","EMPEZAR","1543","Email","Email","Emaila"
"copy.ts","EMPEZAR","1544","Teléfono (opcional)","Phone (optional)","Telefonoa (aukerakoa)"
"copy.ts","EMPEZAR","1548","Tu negocio","Your business","Zure negozioa"
"copy.ts","EMPEZAR","1550","¿Cómo se llama tu negocio?","What's your business called?","Nola du izena zure negozioak?"
"copy.ts","EMPEZAR","1555","¿A qué te dedicas? Cuéntanoslo con tus palabras.","What do you do? Tell us in your own words.","Zertan zabiltza? Kontatu iezaguzu zure hitzekin."
"copy.ts","EMPEZAR","1560","¿Ya tienes una web?","Do you already have a website?","Jada baduzu weba?"
"copy.ts","EMPEZAR","1564","Sí","Yes","Bai"
"copy.ts","EMPEZAR","1565","No","No","Ez"
"copy.ts","EMPEZAR","1567","URL de tu web actual (opcional)","Your current website URL (optional)","Zure oraingo webaren URLa (aukerakoa)"
"copy.ts","EMPEZAR","1574","Qué necesitas","What you need","Zer behar duzun"
"copy.ts","EMPEZAR","1576","Elige el plan que más se ajuste. Si no lo tienes claro, dínoslo y te aconsejamos nosotros.","Pick the plan that fits best. If you're not sure, tell us and we'll advise you.","Aukeratu ondoen egokitzen den plana. Argi ez baduzu, esaguzu eta guk aholkatuko dizugu."
"copy.ts","EMPEZAR","1581","No lo tengo claro, aconsejadme","I'm not sure, advise me","Ez daukat argi, aholkatu iezadazue"
"copy.ts","EMPEZAR","1589","Qué estilo te gusta","What style do you like","Zein estilo gustatzen zaizun"
"copy.ts","EMPEZAR","1594","Son 3 proyectos reales nuestros, cada uno con una personalidad distinta. Elige el que más se acerque a lo que imaginas para ti.","These are 3 real projects of ours, each with a different personality. Pick the one closest to what you imagine for yourself.","Gure 3 benetako proiektu dira, bakoitza nortasun desberdinarekin. Aukeratu zeuretzat irudikatzen duzunetik gertuen dagoena."
"copy.ts","EMPEZAR","1599","No tengo preferencia, aconsejadme","No preference, advise me","Ez dut lehentasunik, aholkatu iezadazue"
"copy.ts","EMPEZAR","1607","Elegante y premium","Elegant and premium","Dotorea eta premium"
"copy.ts","EMPEZAR","1613","Atrevido y con carácter","Bold and full of character","Ausarta eta izaeraduna"
"copy.ts","EMPEZAR","1621","Limpio y minimalista","Clean and minimal","Garbia eta minimalista"
"copy.ts","EMPEZAR","1627","Algo más","Anything else","Beste zerbait"
"copy.ts","EMPEZAR","1629","¿Algo más que debamos saber? Referencias, plazos, lo que sea.","Anything else we should know? References, timelines, anything at all.","Beste zerbait jakin behar dugu? Erreferentziak, epeak, edozer."
"copy.ts","EMPEZAR","1634","ENVIAR →","SEND →","BIDALI →"
"copy.ts","EMPEZAR","1635","ENVIANDO…","SENDING…","BIDALTZEN…"
"copy.ts","EMPEZAR","1636","* Campo obligatorio","* Required field","* Nahitaezko eremua"
"copy.ts","EMPEZAR","1640","No hemos podido enviar tu solicitud. Comprueba tu conexión e inténtalo de nuevo, o escríbenos directamente.","We couldn't send your request. Check your connection and try again, or email us directly.","Ezin izan dugu zure eskaera bidali. Egiaztatu zure konexioa eta saiatu berriro, edo idatzi iezaguzu zuzenean."
"copy.ts","EMPEZAR","1644","ESCRIBIR UN EMAIL →","SEND AN EMAIL →","EMAIL BAT IDATZI →"
"copy.ts","EMPEZAR","1649","¡Gracias! Pedido recibido.","Thanks! Order received.","Eskerrik asko! Eskaera jasota."
"copy.ts","EMPEZAR","1654","Hemos recibido tu pedido — en breve te llegará un email de confirmación. Te escribiremos en menos de 24 horas para poner en marcha tu web y acordar la forma de pago. No pagas nada por adelantado.","We've received your order — a confirmation email is on its way. We'll write to you within 24 hours to get your website started and arrange payment. You don't pay anything upfront.","Zure eskaera jaso dugu — laster helduko zaizu berrespen-email bat. 24 ordu baino gutxiagoan idatziko dizugu zure weba abian jartzeko eta ordaintzeko modua adosteko. Ez duzu ezer aurretik ordaintzen."
"copy.ts","EMPEZAR","1662","¡Gracias!","Thanks!","Eskerrik asko!"
"copy.ts","EMPEZAR","1664","Hemos recibido tu pedido y en breve te llegará un email de confirmación. Te responderemos en menos de 24 horas con el plan que mejor encaja contigo, antes de pedirte nada de pago.","We've received your order and a confirmation email is on its way. We'll get back to you within 24 hours with the plan that fits best, before asking for any payment.","Zure eskaera jaso dugu eta laster helduko zaizu berrespen-email bat. 24 ordu baino gutxiagoan erantzungo dizugu zuri ondoen egokitzen zaizun planarekin, ordainketarik eskatu aurretik."
"copy.ts","CTA","1673","(CONTACTO / 08)","(CONTACT / 08)","(KONTAKTUA / 08)"
"copy.ts","CTA","1674","¿HABLAMOS?","LET'S TALK?","HITZ EGINGO DUGU?"
"copy.ts","CTA","1676","Cuéntanos dónde estás y a dónde quieres llegar. Te respondemos en menos de 24 horas.","Tell us where you are and where you want to go. We reply within 24 hours.","Kontatu iezaguzu non zauden eta nora iritsi nahi duzun. 24 ordu baino gutxiagoan erantzuten dizugu."
"copy.ts","CTA","1680","EMPEZAR PROYECTO →","START A PROJECT →","PROIEKTUA HASI →"
"copy.ts","localPages","1720","PÁGINAS WEB","WEBSITES","WEB ORRIAK"
"copy.ts","localPages","1721","EN IRÚN","IN IRÚN","IRUNEN"
"copy.ts","localPages","1724","Somos de Irún y trabajamos en remoto, sin oficina de cara al público. Eso no nos aleja de ti: significa que no pagas metros cuadrados vacíos y que puedes contratar tu web sin salir de tu negocio.","We are from Irún and we work remotely, with no walk-in office. That does not put distance between us: it means you are not paying for empty square metres, and you can commission your website without leaving your business.","Irungoak gara eta urrunetik egiten dugu lan, jendaurreko bulegorik gabe. Horrek ez gaitu zugandik urruntzen: metro koadro hutsik ordaintzen ez dituzula esan nahi du, eta zure weba zure negoziotik atera gabe kontrata dezakezula."
"copy.ts","localPages","1731","Un estudio de aquí","A studio from here","Hemengo estudio bat"
"copy.ts","localPages","1733","Conocemos Irún: sabemos la diferencia entre un comercio del centro y uno de Anaka, y que en verano el cliente que entra por tu puerta puede venir de Hendaya. Eso cambia cómo se plantea una web — qué idiomas, qué horarios, qué se enseña primero. No hace falta vernos para que eso se note.","We know Irún: we know the difference between a shop downtown and one in Anaka, and that in summer the customer walking in may be coming from Hendaye. That changes how you plan a website — which languages, which opening hours, what you show first. We don't need to meet for that to show.","Irun ezagutzen dugu: badakigu zer alde dagoen erdiguneko denda baten eta Anakako baten artean, eta udan zure atetik sartzen den bezeroa Hendaiatik etor daitekeela. Horrek aldatzen du web bat nola planteatzen den — zein hizkuntza, zein ordutegi, zer erakusten den lehenengo. Ez da beharrezkoa elkar ikustea hori nabaritzeko."
"copy.ts","localPages","1741","Para el comercio del Bidasoa","For Bidasoa businesses","Bidasoako merkataritzarentzat"
"copy.ts","localPages","1746","Tiendas, bares y restaurantes, talleres, clínicas, autónomos y pymes. Si vendes en local, tu web tiene que llevar gente a la puerta; si vendes online, tiene que cobrar sin fricción. Montamos una cosa o la otra, no un folleto bonito que no hace nada.","Shops, bars and restaurants, workshops, clinics, freelancers and small businesses. If you sell locally, your site has to bring people through the door; if you sell online, it has to take payment without friction. We build one or the other — not a pretty brochure that does nothing.","Dendak, tabernak eta jatetxeak, tailerrak, klinikak, autonomoak eta ETEak. Bertan saltzen baduzu, zure webak jendea aterantz eraman behar du; online saltzen baduzu, marruskadurarik gabe kobratu behar du. Bata edo bestea muntatzen dugu, ez ezer egiten ez duen liburuxka polit bat."
"copy.ts","localPages","1754","Que te encuentren los de aquí","So local people find you","Hemengoek aurki zaitzaten"
